Order Date,Order Time,Order #,Menu Item,Menu Group,Qty,Net Price,Dining Option,Server
6/28/2026,12:10 PM,T-1001,"Hummus",Starters,1,6.60,Takeout,Omar
6/28/2026,12:10 PM,T-1001,"Fresh Lemonade",Drinks,1,3.46,Takeout,Omar
6/28/2026,12:10 PM,T-1001,"Hummus",Starters,1,6.53,Takeout,Omar
6/28/2026,12:03 PM,T-1002,"Mixed Grill",Plates,1,18.92,Takeout,Amina
6/28/2026,12:29 PM,T-1003,"Chicken Shawarma Plate",Plates,1,14.56,Delivery,Omar
6/28/2026,12:29 PM,T-1003,"Falafel Wrap",Wraps,1,9.39,Delivery,Omar
6/28/2026,12:30 PM,T-1004,"Lentil Soup",Starters,1,5.54,Dine In,Omar
6/28/2026,10:56 PM,T-1005,"Chicken Shawarma Plate",Plates,1,14.49,Dine In,Noor
6/28/2026,06:04 PM,T-1006,"Mixed Grill",Plates,1,19.14,Takeout,Noor
6/28/2026,06:04 PM,T-1006,"Beef Shawarma Plate",Plates,2,31.08,Takeout,Noor
6/28/2026,12:20 PM,T-1007,"Hummus",Starters,1,6.55,Takeout,Omar
6/28/2026,12:20 PM,T-1007,"Side Fries",Sides,2,6.98,Takeout,Omar
6/28/2026,12:20 PM,T-1007,"Stuffed Grape Leaves",Starters,1,7.06,Takeout,Omar
6/28/2026,12:05 PM,T-1008,"Beef Shawarma Plate",Plates,1,15.62,Takeout,Noor
6/28/2026,12:05 PM,T-1008,"Mixed Grill",Plates,1,18.65,Takeout,Noor
6/28/2026,07:12 PM,T-1009,"Chicken Wrap",Wraps,1,10.65,Takeout,Noor
6/28/2026,07:12 PM,T-1009,"Chicken Wrap",Wraps,1,10.60,Takeout,Noor
6/28/2026,06:54 PM,T-1010,"Chicken Shawarma Plate",Plates,1,14.62,Dine In,Chris
6/28/2026,06:54 PM,T-1010,"Falafel Wrap",Wraps,1,9.44,Dine In,Chris
6/28/2026,12:34 PM,T-1011,"Falafel Wrap",Wraps,1,9.48,Delivery,Amina
6/28/2026,07:20 PM,T-1012,"Falafel Wrap",Wraps,1,9.42,Delivery,Omar
6/28/2026,07:10 PM,T-1013,"Chicken Shawarma Plate",Plates,1,14.33,Takeout,Omar
6/28/2026,04:42 PM,T-1014,"Baklava",Desserts,2,8.98,Delivery,Noor
6/28/2026,12:48 PM,T-1015,"Hummus",Starters,2,13.18,Dine In,Omar
6/28/2026,12:48 PM,T-1015,"Fresh Lemonade",Drinks,1,3.44,Dine In,Omar
6/28/2026,12:48 PM,T-1015,"Beef Shawarma Plate",Plates,1,15.61,Dine In,Omar
6/28/2026,12:37 PM,T-1016,"Hummus",Starters,2,13.09,Delivery,Noor
6/28/2026,12:37 PM,T-1016,"Chicken Wrap",Wraps,2,21.11,Delivery,Noor
6/28/2026,07:21 PM,T-1017,"Side Fries",Sides,2,6.99,Dine In,Amina
6/28/2026,07:21 PM,T-1017,"Fresh Lemonade",Drinks,1,3.47,Dine In,Amina
6/28/2026,07:21 PM,T-1017,"Beef Shawarma Plate",Plates,1,15.37,Dine In,Amina
6/28/2026,12:47 PM,T-1018,"Lamb Wrap",Wraps,1,11.48,Delivery,Amina
6/28/2026,12:47 PM,T-1018,"Lamb Wrap",Wraps,1,11.41,Delivery,Amina
6/28/2026,12:16 PM,T-1019,"Beef Shawarma Plate",Plates,1,15.28,Takeout,Layla
6/28/2026,12:16 PM,T-1019,"Side Fries",Sides,1,3.55,Takeout,Layla
6/28/2026,07:49 PM,T-1020,"Fattoush Salad",Salads,1,8.66,Dine In,Omar
6/28/2026,07:49 PM,T-1020,"Mint Tea",Drinks,1,2.78,Dine In,Omar
6/28/2026,05:31 PM,T-1021,"Falafel Wrap",Wraps,1,9.56,Dine In,Amina
6/28/2026,07:23 PM,T-1022,"Mixed Grill",Plates,2,38.48,Dine In,Omar
6/28/2026,07:23 PM,T-1022,"Falafel Wrap",Wraps,1,9.64,Dine In,Omar
6/28/2026,07:23 PM,T-1022,"Side Rice",Sides,1,3.01,Dine In,Omar
6/28/2026,09:29 PM,T-1023,"Side Fries",Sides,1,3.47,Takeout,Layla
6/28/2026,09:29 PM,T-1023,"Greek Salad",Salads,1,9.13,Takeout,Layla
6/28/2026,07:52 PM,T-1024,"Greek Salad",Salads,2,18.14,Dine In,Omar
6/28/2026,07:52 PM,T-1024,"Beef Shawarma Plate",Plates,1,15.79,Dine In,Omar
6/28/2026,07:52 PM,T-1024,"Hummus",Starters,1,6.53,Dine In,Omar
6/28/2026,08:42 PM,T-1025,"Hummus",Starters,1,6.50,Dine In,Noor
6/28/2026,08:42 PM,T-1025,"Side Rice",Sides,1,2.99,Dine In,Noor
6/28/2026,08:42 PM,T-1025,"Lamb Wrap",Wraps,1,11.60,Dine In,Noor
6/28/2026,05:10 PM,T-1026,"Baklava",Desserts,1,4.43,Dine In,Amina
6/28/2026,05:10 PM,T-1026,"Chicken Shawarma Plate",Plates,1,14.62,Dine In,Amina
6/28/2026,05:10 PM,T-1026,"Falafel Wrap",Wraps,2,19.10,Dine In,Amina
6/28/2026,07:05 PM,T-1027,"Falafel Wrap",Wraps,1,9.51,Takeout,Omar
6/28/2026,07:05 PM,T-1027,"Hummus",Starters,1,6.40,Takeout,Omar
